active,rating,units,room_type,month_date,revenue,nn,free,revenue_usd,occupancy_rate,revpar_usd
true,5.0,1,entire_home,2026-02-01,216.0,1,27,281.0,0.04,10.0
true,4.9,1,private_room,2024-02-01,418.0,4,25,543.0,0.14,75.0
true,4.9,1,private_room,2025-02-01,781.0,7,21,1015.0,0.25,254.0
true,4.4,1,entire_home,2022-11-01,2841.0,12,18,3693.0,0.4,1477.0
true,5.0,1,entire_home,2025-11-01,2240.0,12,18,2912.0,0.4,1165.0
true,5.0,1,private_room,2023-02-01,1821.0,21,7,2367.0,0.75,1775.0
true,4.8,1,entire_home,2023-02-01,7016.0,24,4,9121.0,0.86,7818.0
true,3.8,1,entire_home,2023-02-01,7720.0,18,10,10036.0,0.64,6452.0
true,3.8,1,entire_home,2024-02-01,3620.0,10,19,4706.0,0.34,1623.0
true,3.8,1,entire_home,2025-02-01,1374.0,3,25,1786.0,0.11,191.0
true,3.8,1,entire_home,2025-09-01,4419.0,10,20,5745.0,0.33,1915.0
true,3.8,1,entire_home,2026-02-01,4444.0,13,15,5777.0,0.46,2682.0
true,4.6,1,entire_home,2025-04-01,1812.0,14,16,2356.0,0.47,1099.0
true,4.6,1,entire_home,2026-02-01,1285.0,13,15,1671.0,0.46,776.0
true,4.0,1,entire_home,2025-02-01,3855.0,18,10,5012.0,0.64,3222.0
true,4.6,1,entire_home,2022-02-01,2177.0,4,24,2830.0,0.14,404.0
true,4.6,1,entire_home,2022-11-01,6143.0,10,20,7986.0,0.33,2662.0
true,4.7,1,entire_home,2024-09-01,1587.0,10,20,2063.0,0.33,688.0
true,4.7,1,entire_home,2024-11-01,1662.0,10,20,2161.0,0.33,720.0
true,4.7,1,entire_home,2025-02-01,742.0,5,23,965.0,0.18,172.0
true,4.8,1,entire_home,2023-02-01,3834.0,24,4,4984.0,0.86,4272.0
true,4.9,1,entire_home,2022-02-01,3209.0,25,3,4172.0,0.89,3725.0
true,4.9,1,entire_home,2023-11-01,1834.0,14,16,2384.0,0.47,1113.0
true,4.9,1,entire_home,2024-02-01,1410.0,9,20,1833.0,0.31,569.0
true,4.9,1,entire_home,2025-06-01,2348.0,12,18,3052.0,0.4,1221.0
true,4.7,1,entire_home,2023-02-01,2073.0,6,22,2695.0,0.21,577.0
true,4.7,1,entire_home,2025-02-01,3976.0,24,4,5169.0,0.86,4430.0
true,4.7,1,entire_home,2026-02-01,1445.0,5,23,1879.0,0.18,335.0
true,4.9,1,entire_home,2025-02-01,1928.0,7,21,2506.0,0.25,627.0
true,4.8,1,private_room,2024-02-01,1423.0,8,21,1850.0,0.28,510.0
true,4.7,1,private_room,2022-06-01,578.0,12,18,751.0,0.4,301.0
true,4.1,1,entire_home,2023-06-01,2965.0,12,18,3855.0,0.4,1542.0
true,4.7,1,entire_home,2025-02-01,3776.0,21,7,4909.0,0.75,3682.0
true,4.7,1,entire_home,2025-06-01,3509.0,10,20,4562.0,0.33,1521.0
true,4.9,1,entire_home,2026-02-01,5745.0,21,7,7469.0,0.75,5601.0
